x y
-3 2
-2.999 2.000
-2.998 2.000
-2.997 2.000
-2.996 2.000
-2.995 2.000
-2.994 2.000
-2.993 2.000
-2.992 2.000
-2.991 2.001
-2.990 2.001
-2.989 2.001
-2.988 2.001
-2.987 2.001
-2.986 2.001
-2.985 2.001
-2.984 2.001
-2.983 2.001
-2.982 2.001
-2.981 2.001
-2.980 2.001
-2.979 2.002
-2.978 2.002
-2.977 2.002
-2.976 2.002
-2.975 2.002
-2.974 2.002
-2.973 2.002
-2.972 2.002
-2.971 2.002
-2.970 2.002
-2.969 2.002
-2.968 2.003
-2.967 2.003
-2.966 2.003
-2.965 2.003
-2.964 2.003
-2.963 2.003
-2.962 2.003
-2.961 2.003
-2.960 2.003
-2.959 2.003
-2.958 2.003
-2.957 2.004
-2.956 2.004
-2.955 2.004
-2.954 2.004
-2.953 2.004
-2.952 2.004
-2.951 2.004
-2.950 2.004
-2.949 2.004
-2.948 2.004
-2.947 2.004
-2.946 2.005
-2.945 2.005
-2.944 2.005
-2.943 2.005
-2.942 2.005
-2.941 2.005
-2.940 2.005
-2.939 2.005
-2.938 2.005
-2.937 2.005
-2.936 2.005
-2.935 2.006
-2.934 2.006
-2.933 2.006
-2.932 2.006
-2.931 2.006
-2.930 2.006
-2.928 2.006
-2.927 2.006
-2.926 2.006
-2.925 2.006
-2.924 2.006
-2.923 2.007
-2.922 2.007
-2.921 2.007
-2.920 2.007
-2.919 2.007
-2.918 2.007
-2.917 2.007
-2.916 2.007
-2.915 2.008
-2.914 2.008
-2.913 2.008
-2.912 2.008
-2.911 2.008
-2.910 2.008
-2.909 2.008
-2.908 2.008
-2.907 2.009
-2.906 2.009
-2.905 2.009
-2.904 2.009
-2.903 2.009
-2.902 2.009
-2.901 2.009
-2.900 2.009
-2.899 2.009
-2.898 2.010
-2.897 2.010
-2.896 2.010
-2.895 2.010
-2.894 2.010
-2.893 2.010
-2.892 2.010
-2.891 2.010
-2.890 2.011
-2.889 2.011
-2.888 2.011
-2.887 2.011
-2.886 2.011
-2.885 2.011
-2.884 2.011
-2.883 2.011
-2.882 2.012
-2.881 2.012
-2.880 2.012
-2.879 2.012
-2.878 2.012
-2.877 2.012
-2.876 2.012
-2.875 2.012
-2.874 2.013
-2.873 2.013
-2.872 2.013
-2.871 2.013
-2.870 2.013
-2.869 2.013
-2.868 2.013
-2.867 2.013
-2.866 2.014
-2.865 2.014
-2.865 2.014
-2.864 2.014
-2.863 2.014
-2.862 2.014
-2.861 2.014
-2.860 2.014
-2.859 2.014
-2.858 2.015
-2.857 2.015
-2.856 2.015
-2.855 2.015
-2.854 2.015
-2.853 2.015
-2.852 2.016
-2.851 2.016
-2.850 2.016
-2.849 2.016
-2.848 2.016
-2.847 2.016
-2.846 2.016
-2.845 2.017
-2.844 2.017
-2.843 2.017
-2.842 2.017
-2.841 2.017
-2.840 2.017
-2.839 2.018
-2.838 2.018
-2.837 2.018
-2.836 2.018
-2.835 2.018
-2.834 2.018
-2.833 2.018
-2.832 2.019
-2.831 2.019
-2.830 2.019
-2.829 2.019
-2.828 2.019
-2.827 2.019
-2.826 2.020
-2.825 2.020
-2.824 2.020
-2.823 2.020
-2.823 2.020
-2.822 2.020
-2.821 2.020
-2.820 2.021
-2.819 2.021
